"filename", "language", "Python", "pip requirements", "Markdown", "JavaScript", "YAML", "Properties", "Docker", "Ini", "PlantUML", "comment", "blank", "total"
"c:\Users\ludok\Documents\ETS\Été2025\LOG430 - Architecture logicielle\LOG430-Lab0\docs\UML\use_cases.puml", "PlantUML", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 27
"c:\Users\ludok\Documents\ETS\Été2025\LOG430 - Architecture logicielle\LOG430-Lab0\hello_world.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 32
"c:\Users\ludok\Documents\ETS\Été2025\LOG430 - Architecture logicielle\LOG430-Lab0\k6\test_consultation_stock.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\ludok\Documents\ETS\Été2025\LOG430 - Architecture logicielle\LOG430-Lab0\k6\test_maj_produits.js", "JavaScript", 0, 0, 0, 54, 0, 0, 0, 0, 0, 2, 12, 68
"c:\Users\ludok\Documents\ETS\Été2025\LOG430 - Architecture logicielle\LOG430-Lab0\k6\test_rapport_consolide.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\ludok\Documents\ETS\Été2025\LOG430 - Architecture logicielle\LOG430-Lab0\k6\test_stress.js", "JavaScript", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 9, 46
"c:\Users\ludok\Documents\ETS\Été2025\LOG430 - Architecture logicielle\LOG430-Lab0\logger.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 12
"c:\Users\ludok\Documents\ETS\Été2025\LOG430 - Architecture logicielle\LOG430-Lab0\nginx.conf", "Properties", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 5, 25
"c:\Users\ludok\Documents\ETS\Été2025\LOG430 - Architecture logicielle\LOG430-Lab0\presentation_layer\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ludok\Documents\ETS\Été2025\LOG430 - Architecture logicielle\LOG430-Lab0\presentation_layer\main.py", "Python", 32, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 43
"c:\Users\ludok\Documents\ETS\Été2025\LOG430 - Architecture logicielle\LOG430-Lab0\prometheus\prometheus.yml", "YAML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\ludok\Documents\ETS\Été2025\LOG430 - Architecture logicielle\LOG430-Lab0\rapport.md", "Markdown", 0, 0, 192, 0, 0, 0, 0, 0, 0, 0, 111, 303
"c:\Users\ludok\Documents\ETS\Été2025\LOG430 - Architecture logicielle\LOG430-Lab0\requirements.txt", "pip requirements", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79
"c:\Users\ludok\Documents\ETS\Été2025\LOG430 - Architecture logicielle\LOG430-Lab0\service_layer\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ludok\Documents\ETS\Été2025\LOG430 - Architecture logicielle\LOG430-Lab0\service_layer\reporting_service.py", "Python", 120, 0, 0, 0, 0, 0, 0, 0, 0, 9, 25, 154
"c:\Users\ludok\Documents\ETS\Été2025\LOG430 - Architecture logicielle\LOG430-Lab0\service_layer\restock_service.py", "Python", 47, 0, 0, 0, 0, 0, 0, 0, 0, 18, 14, 79
"c:\Users\ludok\Documents\ETS\Été2025\LOG430 - Architecture logicielle\LOG430-Lab0\service_layer\stock_service.py", "Python", 58, 0, 0, 0, 0, 0, 0, 0, 0, 8, 18, 84
"c:\Users\ludok\Documents\ETS\Été2025\LOG430 - Architecture logicielle\LOG430-Lab0\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ludok\Documents\ETS\Été2025\LOG430 - Architecture logicielle\LOG430-Lab0\tests\test_dao.py", "Python", 47, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 68
"c:\Users\ludok\Documents\ETS\Été2025\LOG430 - Architecture logicielle\LOG430-Lab0\tests\test_endpoints.py", "Python", 46, 0, 0, 0, 0, 0, 0, 0, 0, 12, 16, 74
"c:\Users\ludok\Documents\ETS\Été2025\LOG430 - Architecture logicielle\LOG430-Lab0\tests\test_reporting_service.py", "Python", 45, 0, 0, 0, 0, 0, 0, 0, 0, 8, 13, 66
"c:\Users\ludok\Documents\ETS\Été2025\LOG430 - Architecture logicielle\LOG430-Lab0\tests\test_restock_service.py", "Python", 39, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 56
"c:\Users\ludok\Documents\ETS\Été2025\LOG430 - Architecture logicielle\LOG430-Lab0\tests\test_stock_service.py", "Python", 42, 0, 0, 0, 0, 0, 0, 0, 0, 10, 15, 67
"Total", "-", 778, 79, 425, 120, 145, 20, 9, 24, 200, 193, 603, 2596
